id,user1,listPV,user2,listArea,user3,listBudget,user4,listRoom,user5,listSquare,user6,listAge,user7,listTag,user8,detail,user9,appointment,agent,listPV0,listArea0,listBudget0,listRoom0,listSquare0,listAge0,listTag0,detail0,appointment0,tag
41,486161,2,1940623,1,2508904,18,2373054,3,2131844,2,3015700,4,2301554,1,490543,9,1589160,5,3131371,0,0,0,0,0,0,0,0,0,0
42,490543,2,1944003,2,2522965,1,2377848,2,2146884,1,3022727,1,2311952,1,496068,10,1610011,1,3129408,0,0,0,0,0,0,0,0,0,0
43,502724,1,1944125,5,2524208,1,2386583,5,2179411,1,3036575,2,2367603,1,500769,4,1616903,3,3129404,0,0,0,0,0,0,0,0,0,0
44,504132,1,1946086,1,2554580,2,2396601,1,2188578,3,3041402,2,2368860,1,527222,40,1669787,2,3129148,0,0,0,0,0,0,0,0,0,0
45,516071,1,1953839,1,2607190,1,2411740,1,2207124,1,3047243,2,2373054,3,532370,57,1698047,7,3127447,0,0,0,0,0,0,0,0,0,0
46,527222,29,1954097,1,2615422,1,2421481,1,2260407,1,3054031,10,2377848,2,540377,2,1746635,1,3126947,0,0,0,0,0,0,0,0,0,0
47,532370,28,1962432,2,2617739,1,2508904,1,2265494,1,3058240,15,2379204,7,548807,7,1759809,2,3125998,0,0,0,0,0,0,0,0,0,0
48,548807,9,1971731,14,2620022,1,2524208,1,2284392,1,3059522,4,2421481,7,552032,15,1763125,5,3125621,0,0,0,0,0,0,0,0,0,0
49,550678,1,1972658,1,2621815,1,2530171,1,2295083,2,3061611,1,2446452,3,591783,3,1783064,1,3125231,0,0,0,0,0,0,0,0,0,0
50,552032,4,1980360,3,2636132,3,2536387,3,2311952,1,3069027,2,2448444,2,596847,2,1786174,2,3125047,0,0,0,0,0,0,0,0,0,0
51,588035,3,1987433,1,2650826,2,2537036,2,2334476,1,3069355,10,2453774,2,597304,66,1786403,1,3124890,0,0,0,0,0,0,0,0,0,0
52,591783,1,1988507,2,2655507,2,2554580,1,2343323,2,3069666,9,2481084,1,598113,4,1790125,3,3124532,0,0,0,0,0,0,0,0,0,0
53,596847,2,1996404,3,2714816,1,2556297,1,2368860,1,3070615,1,2486823,1,611299,50,1792347,1,3124484,0,0,0,0,0,0,0,0,0,0
54,597304,27,2003865,1,2730553,1,2562472,2,2373054,5,3073559,2,2502674,6,622581,6,1812130,1,3123485,0,0,0,0,0,0,0,0,0,0
55,611299,21,2017716,4,2731853,2,2584188,3,2379204,6,3074953,1,2508904,4,628105,2,1824521,1,3120177,0,0,0,0,0,0,0,0,0,0
56,612124,2,2026655,2,2732634,2,2607190,1,2386583,3,3075549,1,2522965,6,641758,91,1830348,2,3119937,0,0,0,0,0,0,0,0,0,0
57,617344,6,2042500,2,2751260,6,2615422,6,2390308,1,3075562,3,2525618,2,651209,44,1840755,4,3119298,0,0,0,0,0,0,0,0,0,0
58,622581,1,2042948,22,2752236,2,2623164,4,2397340,9,3077118,1,2526177,3,652365,2,1857767,3,3118997,0,0,0,0,0,0,0,0,0,0
59,628105,3,2043734,3,2756008,2,2624122,1,2433957,3,3079972,3,2532265,1,652536,33,1900114,1,3118793,0,0,0,0,0,0,0,0,0,0
60,641758,23,2049105,1,2778013,2,2650826,3,2448444,2,3080587,11,2549399,1,653255,39,1934515,1,3118735,0,0,0,0,0,0,0,0,0,0
61,651209,19,2050973,2,2783579,3,2659112,4,2450509,1,3082416,1,2562449,5,669424,10,1937834,3,3118414,0,0,0,0,0,0,0,0,0,0
62,652365,1,2079767,1,2791044,2,2681800,1,2453774,2,3088492,1,2563203,1,689594,2,1944972,1,3118087,0,0,0,0,0,0,0,0,0,0
63,653255,8,2081972,2,2793279,1,2700870,2,2476834,1,3091319,4,2566027,1,697252,44,1947143,3,3116410,0,0,0,0,0,0,0,0,0,0
64,655930,1,2084513,2,2812332,2,2707852,3,2481084,1,3093965,1,2576056,3,718847,4,1949627,5,3115869,0,0,0,0,0,0,0,0,0,0
65,669424,2,2095814,4,2818743,1,2723254,3,2486823,1,3096023,13,2577892,1,726750,21,1959412,1,3115638,0,0,0,0,0,0,0,0,0,0
